id,titulo,titulo_es,tema,ambiente,descripcion_optimizada,descripcion_es,titulo_miniatura,hashtags,etiquetas,imagen_miniatura,url_video,raiz_hz,modo,registro,semilla,duracion_min,comando_regeneracion,comando_ambiente,estado,fecha_publicacion,vistas,suscriptores,subs_por_1000
OBRA-001,Sleep Music · Ocean Waves · 432 Hz · Bottomless Night · 3 Hours,Música para dormir · Olas del mar · 432 Hz · Noche sin fondo · 3 horas,Dormir,mar,"Bottomless Night · 3 Hours

To accompany sleep.
Ambience: ocean waves.

Composed around a root of 216 Hz, the low octave of 432 Hz, in just intonation, shin mode.
Breathing cycle: from 4.5 down to 3.5 breaths per minute, 40 % inhale / 60 % exhale.
Original composition, synthesized from scratch, ambience included. No third-party samples.

Chapters:
00:00 [fill in after editing]","Noche sin fondo · 3 horas

Para acompañar el sueño.
Ambiente: olas del mar.

Compuesta con raíz en 216 Hz, la octava grave de 432 Hz, en entonación justa, modo shin.
Ciclo respiratorio: de 4.5 a 3.5 respiraciones por minuto, inhalar 40 % / exhalar 60 %.
Composición original, sintetizada desde cero: el ambiente también. Ninguna muestra procede de terceros.

Capítulos:
00:00 [completar tras el montaje]",3 HOURS,#SleepMusic #Meditation #432Hz,"432 hz, música 432 hz, música para dormir, sleep music, dormir, shin, música relajante, meditación, relajación, entonación justa, composición original, meditation music, relaxing music, singing bowls, just intonation",,,432,shin,grave,505716,180,python3 03-composicion/compositor.py --minutos 180 --raiz 432 --modo shin --semilla 505716 --caracter sin-cuenco --registro grave,python3 03-composicion/ambiente.py audio/OBRA-001_432_shin.wav audio/OBRA-001_final.wav --fondo mar,pendiente,,,,
OBRA-002,Sleep Music · Ocean Waves · 528 Hz · Low Tide · 2 Hours,Música para dormir · Olas del mar · 528 Hz · Marea baja · 2 horas,Dormir,mar,"Low Tide · 2 Hours

To accompany sleep.
Ambience: ocean waves.

Composed around a root of 264 Hz, the low octave of 528 Hz, in just intonation, kumoi mode.
Breathing cycle: from 4.5 down to 3.5 breaths per minute, 40 % inhale / 60 % exhale.
Original composition, synthesized from scratch, ambience included. No third-party samples.

Chapters:
00:00 [fill in after editing]","Marea baja · 2 horas

Para acompañar el sueño.
Ambiente: olas del mar.

Compuesta con raíz en 264 Hz, la octava grave de 528 Hz, en entonación justa, modo kumoi.
Ciclo respiratorio: de 4.5 a 3.5 respiraciones por minuto, inhalar 40 % / exhalar 60 %.
Composición original, sintetizada desde cero: el ambiente también. Ninguna muestra procede de terceros.

Capítulos:
00:00 [completar tras el montaje]",2 HOURS,#SleepMusic #Meditation #528Hz,"528 hz, música 528 hz, música para dormir, sleep music, dormir, kumoi, música relajante, meditación, relajación, entonación justa, composición original, meditation music, relaxing music, singing bowls, just intonation",,,528,kumoi,grave,443547,120,python3 03-composicion/compositor.py --minutos 120 --raiz 528 --modo kumoi --semilla 443547 --caracter sin-cuenco --registro grave,python3 03-composicion/ambiente.py audio/OBRA-002_528_kumoi.wav audio/OBRA-002_final.wav --fondo mar,pendiente,,,,
OBRA-003,Sleep Music · Ocean Waves · 396 Hz · Dark Room · 2 Hours,Música para dormir · Olas del mar · 396 Hz · Cuarto oscuro · 2 horas,Dormir,mar,"Dark Room · 2 Hours

To accompany sleep.
Ambience: ocean waves.

Composed around a root of 198 Hz, the low octave of 396 Hz, in just intonation, kumoi mode.
Breathing cycle: from 4.5 down to 3.5 breaths per minute, 40 % inhale / 60 % exhale.
Original composition, synthesized from scratch, ambience included. No third-party samples.

Chapters:
00:00 [fill in after editing]","Cuarto oscuro · 2 horas

Para acompañar el sueño.
Ambiente: olas del mar.

Compuesta con raíz en 198 Hz, la octava grave de 396 Hz, en entonación justa, modo kumoi.
Ciclo respiratorio: de 4.5 a 3.5 respiraciones por minuto, inhalar 40 % / exhalar 60 %.
Composición original, sintetizada desde cero: el ambiente también. Ninguna muestra procede de terceros.

Capítulos:
00:00 [completar tras el montaje]",2 HOURS,#SleepMusic #Meditation #396Hz,"396 hz, música 396 hz, música para dormir, sleep music, dormir, kumoi, música relajante, meditación, relajación, entonación justa, composición original, meditation music, relaxing music, singing bowls, just intonation",,,396,kumoi,grave,692584,120,python3 03-composicion/compositor.py --minutos 120 --raiz 396 --modo kumoi --semilla 692584 --caracter sin-cuenco --registro grave,python3 03-composicion/ambiente.py audio/OBRA-003_396_kumoi.wav audio/OBRA-003_final.wav --fondo mar,pendiente,,,,
OBRA-004,Sleep Music · Ocean Waves · 528 Hz · No One Awake · 3 Hours,Música para dormir · Olas del mar · 528 Hz · Nadie despierto · 3 horas,Dormir,mar,"No One Awake · 3 Hours

To accompany sleep.
Ambience: ocean waves.

Composed around a root of 264 Hz, the low octave of 528 Hz, in just intonation, shin mode.
Breathing cycle: from 4.5 down to 3.5 breaths per minute, 40 % inhale / 60 % exhale.
Original composition, synthesized from scratch, ambience included. No third-party samples.

Chapters:
00:00 [fill in after editing]","Nadie despierto · 3 horas

Para acompañar el sueño.
Ambiente: olas del mar.

Compuesta con raíz en 264 Hz, la octava grave de 528 Hz, en entonación justa, modo shin.
Ciclo respiratorio: de 4.5 a 3.5 respiraciones por minuto, inhalar 40 % / exhalar 60 %.
Composición original, sintetizada desde cero: el ambiente también. Ninguna muestra procede de terceros.

Capítulos:
00:00 [completar tras el montaje]",3 HOURS,#SleepMusic #Meditation #528Hz,"528 hz, música 528 hz, música para dormir, sleep music, dormir, shin, música relajante, meditación, relajación, entonación justa, composición original, meditation music, relaxing music, singing bowls, just intonation",,,528,shin,grave,751043,180,python3 03-composicion/compositor.py --minutos 180 --raiz 528 --modo shin --semilla 751043 --caracter sin-cuenco --registro grave,python3 03-composicion/ambiente.py audio/OBRA-004_528_shin.wav audio/OBRA-004_final.wav --fondo mar,pendiente,,,,
OBRA-005,Sleep Music · Ocean Waves · 432 Hz · Winter Breath · 2 Hours,Música para dormir · Olas del mar · 432 Hz · Respiración de invierno · 2 horas,Dormir,mar,"Winter Breath · 2 Hours

To accompany sleep.
Ambience: ocean waves.

Composed around a root of 216 Hz, the low octave of 432 Hz, in just intonation, kumoi mode.
Breathing cycle: from 4.5 down to 3.5 breaths per minute, 40 % inhale / 60 % exhale.
Original composition, synthesized from scratch, ambience included. No third-party samples.

Chapters:
00:00 [fill in after editing]","Respiración de invierno · 2 horas

Para acompañar el sueño.
Ambiente: olas del mar.

Compuesta con raíz en 216 Hz, la octava grave de 432 Hz, en entonación justa, modo kumoi.
Ciclo respiratorio: de 4.5 a 3.5 respiraciones por minuto, inhalar 40 % / exhalar 60 %.
Composición original, sintetizada desde cero: el ambiente también. Ninguna muestra procede de terceros.

Capítulos:
00:00 [completar tras el montaje]",2 HOURS,#SleepMusic #Meditation #432Hz,"432 hz, música 432 hz, música para dormir, sleep music, dormir, kumoi, música relajante, meditación, relajación, entonación justa, composición original, meditation music, relaxing music, singing bowls, just intonation",,,432,kumoi,grave,531725,120,python3 03-composicion/compositor.py --minutos 120 --raiz 432 --modo kumoi --semilla 531725 --caracter sin-cuenco --registro grave,python3 03-composicion/ambiente.py audio/OBRA-005_432_kumoi.wav audio/OBRA-005_final.wav --fondo mar,pendiente,,,,
OBRA-006,Sleep Music · Ocean Waves · 417 Hz · Before Dawn · 90 Minutes,Música para dormir · Olas del mar · 417 Hz · Antes del alba · 90 minutos,Dormir,mar,"Before Dawn · 90 Minutes

To accompany sleep.
Ambience: ocean waves.

Composed around a root of 208.5 Hz, the low octave of 417 Hz, in just intonation, kumoi mode.
Breathing cycle: from 4.5 down to 3.5 breaths per minute, 40 % inhale / 60 % exhale.
Original composition, synthesized from scratch, ambience included. No third-party samples.

Chapters:
00:00 [fill in after editing]","Antes del alba · 90 minutos

Para acompañar el sueño.
Ambiente: olas del mar.

Compuesta con raíz en 208.5 Hz, la octava grave de 417 Hz, en entonación justa, modo kumoi.
Ciclo respiratorio: de 4.5 a 3.5 respiraciones por minuto, inhalar 40 % / exhalar 60 %.
Composición original, sintetizada desde cero: el ambiente también. Ninguna muestra procede de terceros.

Capítulos:
00:00 [completar tras el montaje]",90 MIN,#SleepMusic #Meditation #417Hz,"417 hz, música 417 hz, música para dormir, sleep music, dormir, kumoi, música relajante, meditación, relajación, entonación justa, composición original, meditation music, relaxing music, singing bowls, just intonation",,,417,kumoi,grave,813147,90,python3 03-composicion/compositor.py --minutos 90 --raiz 417 --modo kumoi --semilla 813147 --caracter sin-cuenco --registro grave,python3 03-composicion/ambiente.py audio/OBRA-006_417_kumoi.wav audio/OBRA-006_final.wav --fondo mar,pendiente,,,,
OBRA-007,Sleep Music · Ocean Waves · 396 Hz · Slow Weight · 2 Hours,Música para dormir · Olas del mar · 396 Hz · Peso lento · 2 horas,Dormir,mar,"Slow Weight · 2 Hours

To accompany sleep.
Ambience: ocean waves.

Composed around a root of 198 Hz, the low octave of 396 Hz, in just intonation, shin mode.
Breathing cycle: from 4.5 down to 3.5 breaths per minute, 40 % inhale / 60 % exhale.
Original composition, synthesized from scratch, ambience included. No third-party samples.

Chapters:
00:00 [fill in after editing]","Peso lento · 2 horas

Para acompañar el sueño.
Ambiente: olas del mar.

Compuesta con raíz en 198 Hz, la octava grave de 396 Hz, en entonación justa, modo shin.
Ciclo respiratorio: de 4.5 a 3.5 respiraciones por minuto, inhalar 40 % / exhalar 60 %.
Composición original, sintetizada desde cero: el ambiente también. Ninguna muestra procede de terceros.

Capítulos:
00:00 [completar tras el montaje]",2 HOURS,#SleepMusic #Meditation #396Hz,"396 hz, música 396 hz, música para dormir, sleep music, dormir, shin, música relajante, meditación, relajación, entonación justa, composición original, meditation music, relaxing music, singing bowls, just intonation",,,396,shin,grave,885916,120,python3 03-composicion/compositor.py --minutos 120 --raiz 396 --modo shin --semilla 885916 --caracter sin-cuenco --registro grave,python3 03-composicion/ambiente.py audio/OBRA-007_396_shin.wav audio/OBRA-007_final.wav --fondo mar,pendiente,,,,
OBRA-008,Sleep Music · Ocean Waves · 432 Hz · The Sleeping House · 3 Hours,Música para dormir · Olas del mar · 432 Hz · La casa dormida · 3 horas,Dormir,mar,"The Sleeping House · 3 Hours

To accompany sleep.
Ambience: ocean waves.

Composed around a root of 216 Hz, the low octave of 432 Hz, in just intonation, kumoi mode.
Breathing cycle: from 4.5 down to 3.5 breaths per minute, 40 % inhale / 60 % exhale.
Original composition, synthesized from scratch, ambience included. No third-party samples.

Chapters:
00:00 [fill in after editing]","La casa dormida · 3 horas

Para acompañar el sueño.
Ambiente: olas del mar.

Compuesta con raíz en 216 Hz, la octava grave de 432 Hz, en entonación justa, modo kumoi.
Ciclo respiratorio: de 4.5 a 3.5 respiraciones por minuto, inhalar 40 % / exhalar 60 %.
Composición original, sintetizada desde cero: el ambiente también. Ninguna muestra procede de terceros.

Capítulos:
00:00 [completar tras el montaje]",3 HOURS,#SleepMusic #Meditation #432Hz,"432 hz, música 432 hz, música para dormir, sleep music, dormir, kumoi, música relajante, meditación, relajación, entonación justa, composición original, meditation music, relaxing music, singing bowls, just intonation",,,432,kumoi,grave,295910,180,python3 03-composicion/compositor.py --minutos 180 --raiz 432 --modo kumoi --semilla 295910 --caracter sin-cuenco --registro grave,python3 03-composicion/ambiente.py audio/OBRA-008_432_kumoi.wav audio/OBRA-008_final.wav --fondo mar,pendiente,,,,
OBRA-009,Music for Anxiety · Ocean and Birds · 396 Hz · Just Exhale · 25 Minutes,Música para momentos de ansiedad · Mar y pájaros · 396 Hz · Solo exhalar · 25 minutos,Ansiedad,mar-aves,"Just Exhale · 25 Minutes

To accompany a pause when your mind won't stop.
Ambience: ocean and birds.

Composed around a root of 396 Hz, in just intonation, kumoi mode.
Breathing cycle: from 6.0 down to 4.5 breaths per minute, 40 % inhale / 60 % exhale.
Original composition, synthesized from scratch, ambience included. No third-party samples.

Chapters:
00:00 [fill in after editing]","Solo exhalar · 25 minutos

Para acompañar un momento de pausa cuando la cabeza no para.
Ambiente: mar y pájaros.

Compuesta con raíz en 396 Hz, en entonación justa, modo kumoi.
Ciclo respiratorio: de 6.0 a 4.5 respiraciones por minuto, inhalar 40 % / exhalar 60 %.
Composición original, sintetizada desde cero: el ambiente también. Ninguna muestra procede de terceros.

Capítulos:
00:00 [completar tras el montaje]",25 MIN,#RelaxingMusic #Meditation #396Hz,"396 hz, música 396 hz, música para momentos de ansiedad, music for anxiety, ansiedad, kumoi, música relajante, meditación, relajación, entonación justa, composición original, meditation music, relaxing music, sleep music, singing bowls, just intonation",,,396,kumoi,medio,555819,25,python3 03-composicion/compositor.py --minutos 25 --raiz 396 --modo kumoi --semilla 555819 --caracter sin-cuenco,python3 03-composicion/capas.py aves 1540 audio/OBRA-009_capa.wav --semilla 555819 && python3 03-composicion/ambiente.py audio/OBRA-009_396_kumoi.wav audio/OBRA-009_final.wav --fondo mar --nivel-capa -4 --capa audio/OBRA-009_capa.wav,pendiente,,,,
OBRA-010,Music for Anxiety · Zen Temple · 432 Hz · Slowing Down · 30 Minutes,Música para momentos de ansiedad · Templo zen · 432 Hz · Bajar el ritmo · 30 minutos,Ansiedad,zen,"Slowing Down · 30 Minutes

To accompany a pause when your mind won't stop.
Ambience: zen temple.

Composed around a root of 432 Hz, in just intonation, hirajoshi mode.
Breathing cycle: from 6.0 down to 4.5 breaths per minute, 40 % inhale / 60 % exhale.
Original composition, synthesized from scratch, ambience included. No third-party samples.

Chapters:
00:00 [fill in after editing]","Bajar el ritmo · 30 minutos

Para acompañar un momento de pausa cuando la cabeza no para.
Ambiente: templo zen.

Compuesta con raíz en 432 Hz, en entonación justa, modo hirajoshi.
Ciclo respiratorio: de 6.0 a 4.5 respiraciones por minuto, inhalar 40 % / exhalar 60 %.
Composición original, sintetizada desde cero: el ambiente también. Ninguna muestra procede de terceros.

Capítulos:
00:00 [completar tras el montaje]",30 MIN,#RelaxingMusic #Meditation #432Hz,"432 hz, música 432 hz, música para momentos de ansiedad, music for anxiety, ansiedad, hirajoshi, música relajante, meditación, relajación, entonación justa, composición original, meditation music, relaxing music, sleep music, singing bowls, just intonation",,,432,hirajoshi,medio,739461,30,python3 03-composicion/compositor.py --minutos 30 --raiz 432 --modo hirajoshi --semilla 739461 --caracter sin-cuenco,python3 03-composicion/capas.py zen 1840 audio/OBRA-010_capa.wav --semilla 739461 --densidad 1.4 && python3 03-composicion/ambiente.py audio/OBRA-010_432_hirajoshi.wav audio/OBRA-010_final.wav --fondo mar --nivel-fondo -7 --nivel-capa 2 --capa audio/OBRA-010_capa.wav,pendiente,,,,
